"","CASE..","RIDESHARE","DATE","YEAR","MONTH","DAY","OFFENSE","ADDRESS","ZIP","ARREST"
"140","2015-91650  ","HERE",2015-01-09,2015,"Jan",9,"DWI .15 BAC OR ABOVE  ","8200 SAM RAYBURN DR  ","78753","Yes"
"141","2015-91669  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","1700 ROYAL HILL DR  ","78741","Yes"
"142","2015-150090131  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","500 BLOCK E 6TH ST  ","78701","No"
"143","2015-90206  ","HERE",2015-01-09,2015,"Jan",9,"DWI  ","12600 N IH 35 SB  ","78753","No"
"144","2015-100030  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","3500 E 7TH ST  ","78702","Yes"
"145","2015-100039  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","10 I-35 N  ","78701","Yes"
"146","2015-100086  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","9520 SPECTRUM DR  ","78717","Yes"
"147","2015-100090  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","12001 I-35 N  ","78753","Yes"
"148","2015-100109  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","800 E RUNDBERG LN  ","78753","Yes"
"149","2015-100135  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","600 BLOCK S CONGRESS AVE  ","78704","Yes"
"150","2015-100157  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","8805 NORTH PLZ  ","78753","Yes"
"151","2015-100158  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","W 5TH ST AND COLORADO  ","N/A  ","Yes"
"152","2015-100186  ","HERE",2015-01-10,2015,"Jan",10,"DWI .15 BAC OR ABOVE  ","10100 RESEARCH BLVD SB  ","78759","Yes"
"153","2015-100186  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","10100 RESEARCH BLVD SB  ","78759","Yes"
"154","2015-100190  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","5100 BLK N IH 35 SVRD  ","N/A  ","Yes"
"155","2015-100211  ","HERE",2015-01-10,2015,"Jan",10,"DWI .15 BAC OR ABOVE  ","1400 E RUNDBERG LN  ","78753","Yes"
"156","2015-100256  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","6007 I-35 N  ","78723","Yes"
"157","2015-100257  ","HERE",2015-01-10,2015,"Jan",10,"DWI .15 BAC OR ABOVE  ","800 W CESAR CHAVEZ ST  ","78701","Yes"
"158","2015-100261  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","W SLAUGHTER LN at MANCHACA RD  ","78748","Yes"
"159","2015-100269  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","1500 ENFIELD RD  ","78703","Yes"
"160","2015-100288  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","12900 S IH 35 NB  ","78747","Yes"
"161","2015-100310  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","700 AIRPORT BLVD  ","78702","Yes"
"162","2015-100319  ","HERE",2015-01-10,2015,"Jan",10,"DWI 2ND  ","3112 E CESAR CHAVEZ ST  ","78702","Yes"
"163","2015-100320  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","5521 WAR ADMIRAL DR  ","78617","Yes"
"164","2015-100323  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","W SLAUGHTER LN at CURLEW DR  ","78748","Yes"
"165","2015-100323  ","HERE",2015-01-10,2015,"Jan",10,"DWI - DRUG RECOGNITION EXPERT  ","W SLAUGHTER LN at CURLEW DR  ","78748","Yes"
"166","2015-100447  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","6800 BLOCK MEADOW LAKE BLVD  ","78744","Yes"
"167","2015-101411  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","9700 N MOPAC EXPY SVRD NB  ","78759","Yes"
"168","2015-101468  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","TINNIN FORD RD at ELMONT DR  ","78741","Yes"
"169","2015-101482  ","HERE",2015-01-10,2015,"Jan",10,"DWI .15 BAC OR ABOVE  ","3300 BLOCK W BRAKER LN  ","78758","Yes"
"170","2015-101500  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","5500 BLOCK MANOWAR STRETCH DR  ","78617","Yes"
"171","2015-101502  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","9000 N LAMAR BLVD  ","78758","Yes"
"172","2015-150100320  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","5521 WAR ADMIRAL DR  ","78617","Yes"
"173","2015-91712  ","HERE",2015-01-10,2015,"Jan",10,"DWI 2ND  ","5601 AINEZ DR  ","78744","Yes"
"174","2015-91735  ","HERE",2015-01-10,2015,"Jan",10,"DWI  ","3800 S CONGRESS AVE  ","78704","Yes"
"175","2015-110035  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","E 12TH ST at I-35 N  ","N/A  ","Yes"
"176","2015-110071  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","600 BLK MARY  ","N/A  ","Yes"
"177","2015-110107  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","700 BLOCK OF W 6TH STREET  ","N/A  ","Yes"
"178","2015-110120  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","600 SAN JACINTO BLVD  ","78701","Yes"
"179","2015-110125  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","W 46TH ST at W GUADALUPE ST  ","78751","Yes"
"180","2015-110168  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","LAMPLIGHT VILLAGE AVE at W PARMER LN  ","78727","Yes"
"181","2015-110211  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","11101 I-35 N  ","78753","Yes"
"182","2015-110232  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","600 SAN JACINTO BLVD  ","78701","Yes"
"183","2015-110270  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","211 S LAMAR BLVD NB  ","78704","Yes"
"184","2015-110284  ","HERE",2015-01-11,2015,"Jan",11,"DWI - DRUG RECOGNITION EXPERT  ","5326 MANCHACA RD  ","78745","Yes"
"185","2015-110406  ","HERE",2015-01-11,2015,"Jan",11,"DWI - DRUG RECOGNITION EXPERT  ","900 E CESAR CHAVEZ ST  ","78702","Yes"
"186","2015-110406  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","900 E CESAR CHAVEZ ST  ","78702","Yes"
"187","2015-110429  ","HERE",2015-01-11,2015,"Jan",11,"DWI - DRUG RECOGNITION EXPERT  ","3563 FAR WEST BLVD  ","78731","Yes"
"188","2015-110957  ","HERE",2015-01-11,2015,"Jan",11,"DWI 2ND  ","1600 E RIVERSIDE DR  ","78741","Yes"
"189","2015-111021  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","9503 QUAIL CT  ","78758","Yes"
"190","2015-111171  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","GEORGIAN DR at E RUNDBERG LN  ","78753","Yes"
"191","2015-111244  ","HERE",2015-01-11,2015,"Jan",11,"DWI .15 BAC OR ABOVE  ","600 WOOD ST  ","78703","Yes"
"192","2015-111257  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","1100 BLOCK W 5TH ST  ","78703","Yes"
"193","2015-111381  ","HERE",2015-01-11,2015,"Jan",11,"DWI  ","4410 E RIVERSIDE DR  ","78741","Yes"
"194","2015-111391  ","HERE",2015-01-11,2015,"Jan",11,"DWI - DRUG RECOGNITION EXPERT  ","MONTOPOLIS DR at E RIVERSIDE DR  ","78741","Yes"
"195","2015-111402  ","HERE",2015-01-11,2015,"Jan",11,"DWI .15 BAC OR ABOVE  ","833 FAIRFIELD DR  ","78758","Yes"
"196","2015-111114  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","KUMQUAT CT at E STASSNEY LN  ","78744","Yes"
"197","2015-120011  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","2000 S IH 35 SB  ","78704","Yes"
"198","2015-120016  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","300 E ST JOHNS AVE  ","78752","Yes"
"199","2015-120029  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","5345 I-35 N  ","78723","Yes"
"200","2015-120035  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","2600 BLOCK PENNY LN  ","78757","Yes"
"201","2015-120054  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","600 BLOCK SAN JACINTO BLVD  ","78701","Yes"
"202","2015-120071  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","800 W 6TH ST  ","78701","Yes"
"203","2015-120077  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","S IH 35 SVRD SB at LITTLE TEXAS LN  ","78745","Yes"
"204","2015-120084  ","HERE",2015-01-12,2015,"Jan",12,"DWI  ","300 BLOCK E 6TH ST  ","78701","Yes"
"205","2015-120093  ","HERE",2015-01-12,2015,"Jan",12,"DWI .15 BAC OR ABOVE  ","N 183 HWY SVRD SB/ LAKE CREEK PKWY  ","N/A  ","Yes"
