character,films1,films2,films3,films4,films5,films6,films7,vehicles1,vehicles2,starships1,starships2,starships3,starships4,starships5
Grievous,Revenge of the Sith,NA,NA,NA,NA,NA,NA,Tsmeu-6 personal wheel bike,NA,Belbullab-22 starfighter,NA,NA,NA,NA
Tarfful,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raymus Antilles,Revenge of the Sith,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sly Moore,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tion Medon,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finn,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rey,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poe Dameron,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,T-70 X-wing fighter,NA,NA,NA,NA
BB8,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Captain Phasma,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Padmé Amidala,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,H-type Nubian yacht,Naboo star skiff,Naboo fighter,NA,NA
