oldcode,state,povrate60,mort_age59_related_postHS,mort_age59_injury_postHS,mort_age59_all_postHS,mort_age25plus_related_postHS,mort_age25plus_injuries_postHS,mort_age59_related_preHS,mort_wh_age59_related_postHS,mort_bl_age59_related_postHS,census1960_pop,census1960_pctsch1417,census1960_pctsch534,census1960_pctsch25plus,census1960_pop1417,census1960_pop534,census1960_pop25plus,census1960_pcturban,census1960_pctblack,census1990_pop,census1990_pop1824,census1990_pop2534,census1990_pop3554,census1990_pop55plus,census1990_pcturban,census1990_pctblack,census1990_percapinc
1011,1,52.22901,0,29.61098,40.71511,136.8477,141.64,24.86634,0,0,26213,84.4,.5215125,18.7,2175,12086,13657,22.1,15.9,32458,.0906402,.1562327,.2490295,.2349806,0,.1126994886,9826
1012,1,62.10922,0,16.83407,50.50222,121.6386,137.7231,0,0,0,18140,85.9,.5925639,18.7,1542,9037,8384,0,49.6,16018,.0976402,.1430266,.2429142,.2262455,0,.4418154576,9622
1013,1,58.46618,10.5578,35.19268,66.86609,137.6657,146.2698,0,0,20.52826,26738,84.1,.5565723,24.4,2052,12568,12549,31.6,49.5,27240,.1017254,.1469163,.2360132,.2149045,0,.4284875184,9031
1014,1,49.76548,0,24.3843,24.3843,166.3432,140.9297,0,0,0,12852,83.7,.5676848,19.4,1036,5533,6892,0,16.3,13252,.097042,.1438273,.2422276,.2673559,0,.1634470269,9533
1015,1,52.19971,0,18.25817,54.77451,99.21645,131.0166,0,0,0,11051,78,.4743829,16.2,879,5348,5708,0,6.4,12730,.1037706,.1498822,.2542812,.2322074,0,.0472113119,9876
1016,1,50.68407,5.763689,14.40922,25.9366,87.10181,103.0146,4.900519,7.337296,0,30383,79.7,.4948556,26.3,2301,15162,15509,51.4,20.7,40240,.0967942,.1602634,.2605368,.2246769,0,.1726143141,11286
1017,1,35.32662,0,23.58389,45.0238,106.2875,96.24923,0,0,0,46985,86.4,.5289862,33.5,3467,22942,24111,57.1,19.3,51666,.0941044,.1508148,.2613518,.2519258,.5533232687,.1663376302,11425
1018,1,62.96134,0,27.36352,41.04529,139.325,141.4045,16.00256,0,0,18372,92.4,.632311,18.7,1589,8412,8894,20.8,45.4,14054,.0892273,.1445852,.2263413,.2667568,0,.4219439306,7953
1019,1,51.69877,0,47.26791,56.7215,96.00534,151.6606,13.72872,0,0,11428,87.4,.578692,21.1,855,5153,5575,0,36.2,11063,.090753,.1655066,.2339329,.2499322,0,.3413179065,9234
1020,1,46.30926,3.401823,17.00912,47.62553,125.3179,109.7555,9.408223,4.261485,0,36577,84.8,.5443141,21.8,2812,16022,19802,52.8,16.1,36478,.083475,.1440046,.2392401,.2771533,0,.1312571961,9315
1021,1,64.90812,8.393487,67.1479,75.54138,164.3061,167.5923,0,0,25.01251,15190,83.3,.5841672,19.2,1228,6796,7942,0,31.1,13635,.0880821,.129813,.2354235,.2799413,0,.2604327099,8848
1022,1,48.08134,3.77779,20.77785,37.7779,105.6459,90.517,3.528084,3.8334,0,46017,86.1,.5467485,17.6,3739,21990,24091,23.9,1.1,67613,.100247,.1523376,.2529395,.2441394,0,.0084007513,10447
1023,1,40.67883,0,23.98238,32.70325,74.86614,97.2084,5.041339,0,0,31527,84,.4217961,35.8,2001,16636,14871,30.7,17.6,49633,.1315455,.1999073,.2250116,.1645679,.0650776701,.1774424274,10580
1024,1,58.20935,3.452025,24.16418,48.32836,150.3464,123.7589,4.741584,0,5.485915,56866,85.8,.5587392,32.6,4399,28618,26481,50.1,57.7,48130,.0964263,.1467068,.2222938,.2214835,0,.578599626,8344
1025,1,49.62872,0,32.5168,47.69131,94.15719,95.64702,8.028259,0,0,42292,80.3,.5314555,17.5,3307,19313,22534,17,2,54651,.0965582,.1497136,.2541765,.2453935,0,.0186455875,9604
1026,1,47.93242,0,31.42184,36.65881,117.1619,123.7571,5.038291,0,0,30189,86.2,.527797,25.2,2396,14426,15796,22.4,33.7,49210,.0969112,.1774436,.2608413,.2004471,.013919935,.2244665718,10677
1027,1,47.24581,0,13.78892,16.5467,132.4708,121.7531,22.12194,0,0,33848,87.3,.5211267,25,2743,16756,16691,50.7,32.7,35518,.098626,.1526832,.251084,.2304747,0,.2812376823,8858
1028,1,35.82675,0,13.68457,28.50952,120.2217,107.6954,9.414423,0,0,98606,86.1,.5324144,28.9,7033,46646,51879,71.1,15.4,99840,.0966647,.143109,.2533253,.2613381,.7156550481,.1388521635,10997
1029,1,52.51355,0,25.12247,50.24495,133.9812,124.6534,10.30078,0,0,16141,82.9,.5531051,20.9,1314,7391,8889,26.2,15.9,17962,.0963144,.1410756,.2529785,.2557622,0,.1228148313,9864
1030,1,49.874,0,34.29943,51.44915,130.6476,125.6863,0,0,0,22363,85,.5192474,20.6,1795,10417,12071,30.1,5.6,27814,.0951679,.1453585,.2531459,.2591501,0,.0456964119,9049
1031,1,53.8095,4.756243,23.78121,42.80618,150.1974,128.5533,7.168459,5.866135,0,22899,78.4,.501713,21.1,1883,10508,12003,17.2,15.1,23647,.0955724,.1357043,.2481076,.2706051,0,.119127162,9768
1032,1,77.78582,8.958165,17.91633,35.83266,140.3928,169.4396,0,0,10.46572,13863,90.4,.6257978,17.4,1216,6737,6143,20.5,81.3,10153,.0826357,.1341475,.2036836,.2449522,0,.8054762139,6306
1033,1,70.75676,0,0,33.07972,119.1685,115.8582,6.44496,0,0,20524,86.3,.6048699,18.3,1683,9569,8818,15.8,70.7,15498,.089818,.1422119,.2126726,.2415796,0,.5929797393,8164
1034,1,64.05679,7.293946,14.58789,36.46973,112.6449,133.8987,0,0,15.33272,15859,83.5,.5807015,19.1,1408,7441,7711,33.8,45.6,15374,.0852088,.1398465,.2442435,.2619357,0,.3507219982,9909
1035,1,46.03269,2.87472,27.30984,43.1208,85.68086,98.77716,8.790436,2.025029,5.099439,50661,86.4,.5607103,29.4,3843,24724,26560,62,27.3,81331,.0934822,.1596562,.255536,.2137684,.6857532798,.2323099433,12118
1036,1,52.10014,4.361479,23.98814,45.79553,110.1682,110.822,16.07976,4.627059,0,37443,82.2,.5074806,17.4,3121,18314,18688,25.5,6.1,47796,.0962005,.1514143,.2710059,.2229684,0,.0410076157,10144
1037,1,30.84088,1.47832,18.10942,33.44698,124.422,102.6949,3.560848,1.832095,.9435253,636496,85.5,.5022791,36.8,40993,301432,341992,84.6,34.6,651525,.0971874,.1684878,.252922,.2319926,.8747876137,.3502352174,13277
1038,1,46.94554,0,34.31474,34.31474,124.365,126.2783,0,0,0,14507,76.4,.4951769,17.9,1126,6531,7903,0,14.7,15715,.0975501,.1459115,.2488069,.2540248,0,.1184218899,9945
1039,1,35.30011,6.041292,12.08258,27.18582,86.96279,84.07777,4.951476,6.912761,0,61690,83.4,.5242416,32.7,4326,30526,31681,51.4,11.8,79661,.1149496,.1521071,.2525075,.2410715,.5093960658,.0959064034,11685
1040,1,56.77119,6.578948,29.60526,52.63158,114.2256,135.7136,11.41162,8.456302,0,24916,79.6,.5270837,17.8,2186,12406,11850,0,22.3,31513,.1077968,.1629486,.2492622,.2065179,0,.1519372957,9800
1041,1,42.51073,1.766098,28.25757,42.38635,84.78203,90.3985,10.002,0,5.034739,50395,83.6,.6176995,35.9,3483,28046,21898,64.2,36.6,87146,.2569022,.1591008,.2143185,.1485094,.674419939,.2349390678,11409
1042,1,49.06786,0,21.53213,31.10197,103.7356,95.75591,0,0,0,37489,80.5,.5224203,23.9,2949,18510,17961,25.6,20.9,54135,.1036113,.1843539,.2585019,.2013115,.0010344509,.1301745636,11696
1043,1,76.94733,6.385696,44.69987,63.85696,109.1091,175.4593,15.12402,0,7.572316,15883,85,.6157722,18.6,1472,7938,6332,0,80.7,12658,.1015168,.1437036,.2025596,.2021646,0,.7469584453,6848
1044,1,60.51723,4.325634,17.30253,25.9538,191.0551,128.2608,5.73921,0,4.996003,27413,87.9,.6570048,29.5,2091,13041,13277,13.3,83.4,24928,.1824856,.122553,.2006178,.2287789,0,.8593148267,7534
1045,1,29.39149,2.847008,11.95743,25.05367,71.27055,86.70113,7.385524,2.978007,2.534533,119011,82.7,.4666773,43,7429,62645,57301,63.9,18.7,238912,.113862,.1997388,.26213,.1779651,.7550688119,.2013419167,15443
1046,1,63.18445,0,19.7449,23.69387,121.4545,139.195,9.518371,0,0,28284,84.8,.5897359,23.6,2215,13367,12827,36.5,62.1,23084,.0874632,.143606,.2280367,.237004,0,.5090538901,9242
1047,1,52.7599,3.831711,22.99027,34.4854,143.6275,128.8965,0,3.949291,0,22215,84.5,.5327075,19.1,1830,10120,12139,13.3,3.3,29830,.1006034,.1435132,.2578277,.2511901,0,.0309420047,9645
1048,1,41.13768,1.773647,24.83106,35.47294,109.6294,112.5528,3.220612,1.813565,0,48054,83.2,.5023446,23.8,3532,23458,25327,46.8,2.3,70832,.0935312,.1542664,.2597978,.2449317,0,.0152896996,10793
1049,1,31.98251,2.105675,23.46323,44.51998,108.9931,107.432,6.664356,1.933581,2.44091,317383,87.9,.5209659,37.9,21808,157446,156735,86.1,32.1,378643,.1019166,.1648096,.2478192,.2007564,.7954643292,.3111532499,11158
1050,1,62.36896,0,21.50168,38.70302,115.6087,142.7651,5.831584,0,0,22996,85.8,.5846648,21.8,1972,11203,10613,16.2,50.6,23968,.0983812,.1473214,.2298481,.2164553,0,.3905624166,9299
1051,1,36.75657,5.037925,13.43447,41.42294,103.9302,100.2184,7.936508,4.290556,5.934648,169937,88,.5125842,44.7,10817,83875,86486,84.4,38.1,209085,.110314,.16973,.24689,.1973169,.9064208336,.4171365713,12806
1052,1,36.46137,3.695673,22.17404,38.18863,97.94962,99.22405,2.487562,2.830656,9.655306,61621,82.8,.4776563,32.8,4076,29270,32151,56.6,12.6,100043,.0937697,.1695071,.2695941,.2077707,.6346770889,.0995871775,12830
1053,1,75.13681,6.637462,46.46223,66.37462,142.0065,158.7131,30.92146,0,9.10498,17295,85.4,.5971812,22.2,1558,8798,7902,21.9,65.7,12759,.1210126,.1190532,.1999373,.2416334,0,.6420565875,6879
1054,1,58.91557,0,4.956629,9.913259,111.7658,108.7246,6.310741,0,0,21988,87.1,.5614943,21.6,1839,10627,10721,14.6,44.7,20699,.0869607,.1366733,.2264361,.2631528,0,.420793275,8564
1055,1,61.9207,0,4.356919,21.78459,98.39752,130.9837,0,0,0,26377,85.9,.6146927,24.8,2134,12564,13048,49.1,41.3,27595,.1791629,.1333937,.211705,.224461,0,.3471281029,9423
1056,1,50.72083,0,34.04062,56.73437,131.6401,139.5228,17.32502,0,0,19928,79.8,.5298321,20,1492,8816,10738,27.1,25.5,19881,.0945626,.1446607,.2322821,.2673407,0,.2365072179,9092
1057,1,49.99789,2.201625,28.62112,52.839,113.674,131.6225,8.868393,4.348015,0,47610,82.5,.5253862,17.2,3719,23950,21947,59.6,49.4,46860,.0999573,.1621639,.248933,.2221084,.6465215536,.3854033291,9675
1058,1,44.42008,2.712085,27.12085,35.25711,98.97971,118.191,0,3.124121,0,25365,85.4,.5544004,18,2084,12408,13080,17.7,16.8,50009,.0951229,.1648503,.2642524,.2092023,0,.0906636805,10596
1059,1,45.08377,0,19.08993,36.44441,73.12179,91.80846,9.442871,0,0,32694,82.7,.5486501,23.2,2509,16187,15959,8.6,18.9,99358,.1016425,.1941565,.2849292,.1442964,.5209142696,.0765816542,16237
1060,1,73.84322,0,11.76125,35.28374,172.8198,155.5378,0,0,0,20880,93.9,.6540004,20.2,1702,9974,8998,14.6,76.3,16174,.1412143,.1374428,.1931495,.2230122,0,.70223816,8031
1061,1,45.34272,4.208164,22.44354,36.47075,117.1034,114.0648,12.90323,2.31841,7.139033,66629,88.2,.5513483,27.7,5445,33302,31941,54.2,32,74107,.1004628,.1508359,.2520005,.2191156,.014155208,.3078926417,9700
1062,1,40.67229,0,37.03704,45.58405,133.8115,121.4597,0,0,0,34656,82.4,.5234769,24.7,2573,16463,18755,51,28.9,38826,.0939834,.1396744,.2485448,.2598259,0,.2629938701,10878
1063,1,40.56952,3.666731,19.25034,30.25053,104.6008,91.60608,11.61541,4.235852,2.638035,110215,82.9,.548741,34,7037,55682,55466,70.4,28.7,150522,.1700549,.1572328,.235547,.1982434,.7048737062,.259403941,11406
1064,1,44.65673,0,16.56617,33.13233,135.8907,122.702,2.865658,0,0,55467,67,.5510456,20.5,4434,25918,28718,25.8,10.3,67670,.0955519,.1501847,.2576622,.2426629,0,.0642234373,10105
1065,1,54.22368,0,32.99604,49.49406,102.0871,127.8667,0,0,0,16529,86.1,.5671735,19.9,1428,7957,6871,0,32.7,16694,.0978196,.148137,.2432012,.2052833,0,.2769857434,8340
1066,1,78.65428,6.123699,55.11329,79.60809,152.9932,179.92,12.58812,0,7.917029,18691,85.5,.6295017,20.3,1933,9552,8086,0,77.9,13568,.0943396,.1292011,.1983343,.241082,0,.6891214623,6552
1067,1,50.54373,0,20.90957,47.04652,118.5806,131.0242,0,0,0,15273,77.5,.5073795,18.6,1304,7182,7965,25.2,.5,22053,.0993969,.1485966,.264091,.2423707,0,.0024033011,9349
2001,2,28.93401,,,,,,0,,,1612,,,,,,,,,2464,.1623377,.275974,.2739448,.0714286,0,.0028409091,17242
2003,2,15.29646,,,,,,0,,,4051,,,,,,,,,226338,.102802,.2156995,.299256,.0888097,.9797073403,.0636702631,19620
2006,2,25.46012,,,,,,0,,,2986,,,,,,,,,4012,.0892323,.1904287,.2427717,.1049352,0,.0004985045,12782
2007,2,20.98931,,,,,,0,,,1745,,,,,,,,,77720,.1316907,.2172414,.2630983,.0766341,0,.0707153886,15914
2008,2,22.27682,,,,,,0,,,2846,,,,,,,,,2117,.0604629,.1686349,.3330184,.1563533,0,.0009447331,16204
2009,2,21.14061,,,,,,0,,,5249,,,,,,,,,26751,.0784644,.1913573,.3310157,.1044821,0,.0103173713,19920
2012,2,30.23455,,,,,,0,,,6222,,,,,,,,,13309,.1070704,.2313472,.2816891,.0721316,0,.0077391239,19979
2013,2,18.523,,,,,,0,,,7269,,,,,,,,,1668,.0839329,.2110312,.2176259,.1133094,0,0,11560
2014,2,28.65109,,,,,,23.34267,,,6097,,,,,,,,,39683,.0622937,.1789431,.3036817,.1080563,0,.0062747272,15898
2015,2,31.10769,,,,,,19.29012,,,3887,,,,,,,,,8288,.0935087,.1844836,.2317809,.1087114,0,.0002413127,10701
2016,2,82.45859,,,,,,54.82456,,,5171,,,,,,,,,5979,.0909851,.1965212,.2502091,.085633,0,.0070245861,18231
2017,2,75.40984,,,,,,0,,,1986,,,,,,,,,6113,.1025683,.1779813,.1882873,.0989694,0,.001635858,10040
2018,2,50.36776,,,,,,81.30081,,,3996,,,,,,,,,6278,.0813954,.1925773,.307582,.0933418,0,.0017521504,15510
2020,2,65.32374,,,,,,0,,,1595,,,,,,,,,4385,.0670467,.1885975,.3017104,.1151653,0,.0011402509,15463
2021,2,49.56868,,,,,,0,,,2010,,,,,,,,,5913,.0843903,.183494,.2851344,.0891257,0,.0473532894,12505
2022,2,75.49081,,,,,,55.55556,,,3262,,,,,,,,,9952,.0782757,.193328,.3303859,.1075161,0,.0067323151,22772
2023,2,59.35649,,,,,,0,,,5605,,,,,,,,,5791,.1143153,.1628389,.1740632,.0937662,0,.0025902262,6519
2024,2,93.07167,,,,,,0,,,3049,,,,,,,,,7042,.0702925,.1904289,.2902584,.138313,0,.0024140869,19012
2025,2,,,,,,,0,,,,,,,,,,,,8478,,,,,0,.0090823307,11554
3001,3,66.0539,4.762434,33.33704,66.67407,144.9492,319.7942,17.95977,0,0,29339,79.5,.5165694,20.8,2587,17140,11324,0,2.5,61591,.0967187,.1569385,.2000455,.1245799,0,.0018184475,5399
3002,3,24.87068,2.592722,20.74178,42.77992,112.7462,90.0755,8.037293,2.756795,0,55443,88.7,.4897726,44.5,3514,27964,27132,45.3,2.4,97624,.0994325,.1626137,.2385172,.2260715,0,.0519749242,10716
3003,3,34.77553,2.75539,38.57546,61.99628,68.03252,129.3733,8.855827,0,0,41152,86.2,.5524808,42.9,2728,22513,18575,59.1,2.8,96591,.1707095,.1725523,.2359019,.1141411,0,.0129929289,10580
3004,3,29.21829,0,26.39993,41.06656,152.3103,138.0173,10.67008,0,0,25232,91.1,.6217825,34.1,1867,12432,13032,46.9,.4,40216,.0630595,.1201263,.2405759,.3105729,0,.0023871096,10297
3005,3,35.83064,4.532681,49.85949,63.45753,157.5692,144.93,9.540164,5.53281,0,14317,85,.5858407,40.3,1375,7345,6487,33.1,2.6,26554,.1072531,.1386985,.2149205,.2079913,0,.0173608496,8955
3006,3,22.92434,7.592438,7.592438,22.77731,110.2686,93.65276,10.78051,7.833307,0,11970,94.8,.6361051,34.3,1013,5977,5537,36.4,.4,8008,.0661838,.1403596,.2623626,.1895604,0,.0033716284,9794
3007,3,20.9282,2.38028,17.59707,34.34405,113.4139,92.8802,7.452022,2.303124,3.798526,663268,85.1,.5319405,47.7,42917,322803,346702,86.5,3.8,2122101,.104971,.1864944,.2459341,.2012143,.9365930274,.035010115,14970
3008,3,24.66245,0,48.36629,64.4884,102.0627,141.2061,19.77066,0,0,8096,89.1,.5826889,42.1,515,3362,4292,58.5,.2,93497,.0660556,.1346888,.2344888,.3371445,0,.0014545921,11933
3009,3,52.00044,1.264462,39.19833,55.63634,115.0026,190.1843,18.47404,0,0,36504,73.9,.5083829,32.9,2934,20339,15540,32.4,2,77658,.0905509,.1494244,.2186381,.1569059,0,.0104561024,7586
3010,3,20.23236,1.996795,15.72476,33.19672,132.4561,90.30951,8.47314,2.194035,0,263546,90.2,.5598722,51.7,16492,128908,138712,88.3,3,666880,.115625,.1723144,.2432162,.220314,.8684545945,.0312739923,13177
3011,3,38.99426,2.220298,27.75373,43.29581,144.6284,143.2946,6.099792,1.342174,26.07562,64117,80.5,.5249727,29.4,4618,32996,29002,44,5.9,116379,.0869659,.1501216,.2354463,.2307031,.1634573248,.0312685278,9228
3012,3,35.74834,4.712979,4.712979,23.5649,122.2726,95.10094,0,4.746085,0,10776,93.4,.5417464,39.7,758,5222,5490,67.4,1,29676,.0950937,.1468864,.2333872,.1807858,0,.0022240194,9007
3013,3,23.26754,2.30638,29.98293,48.43397,166.8653,114.498,12.2414,2.388117,0,29280,93.7,.5888308,42.8,2052,11854,17173,44.5,.5,107714,.0694153,.1146276,.2393097,.3634996,0,.002265258,12657
3014,3,24.90828,0,29.20412,43.17131,117.4946,147.4321,6.257431,0,0,46081,88.1,.4770324,39.7,3080,23642,23578,57.9,3.7,120739,.1029825,.1402447,.1880337,.1937071,.5852707079,.0247558784,10291.78327
4001,4,45.90302,0,19.08215,47.70537,93.26511,93.26511,12.37777,0,0,23712,85.5,.537391,28.4,1692,10778,12447,54.3,24.6,21653,.0719531,.1401192,.2487415,.2604258,0,.2172909066,11169
4002,4,47.21237,3.842459,23.05475,42.26705,117.0129,121.3698,11.81195,5.617978,0,25166,90.2,.5743353,25.4,1953,11697,12225,34.2,36.7,24319,.0929314,.1399729,.2524775,.23348,0,.2726674617,9696
4003,4,45.16038,0,19.09733,25.46311,141.0101,91.80873,19.31248,0,0,10688,88.5,.6224683,30,709,3703,6311,0,0,31186,.0560508,.1089912,.2183352,.421856,0,0,10648
4004,4,39.40473,3.403502,17.01751,35.73677,110.6669,82.0676,5.185646,3.478624,0,36402,93.3,.5898338,33.4,2407,14499,22058,36.7,.1,97499,.0891291,.1497349,.2337357,.2798695,.0100103591,.0008923168,12274
4005,4,44.08264,0,30.93102,36.08619,170.8111,85.70521,11.79523,0,,16235,86.2,.5140471,31.6,1068,6585,9762,40.8,0,28297,.0854154,.142842,.2438068,.2764958,0,.0000706789,10129
4006,4,50.99333,0,18.47575,46.18938,145.6025,104.4781,0,0,0,14404,89.4,.5722088,23.1,1063,6225,7673,48.1,35.1,11793,.0864072,.133469,.2323412,.2897482,0,.3100992114,8824
4007,4,58.79927,0,23.27205,23.27205,127.0043,97.89914,0,0,0,6063,92.9,.6320093,20.9,486,2568,3330,0,35.2,5826,.0847923,.1556814,.233608,.2578098,0,.2480260899,9464
4008,4,45.89847,8.970219,17.94044,44.85109,184.1455,105.0977,0,9.052232,0,11391,79.6,.4693216,29.1,753,4319,7160,0,.1,18654,.0799828,.1350917,.2555484,.2889997,0,.0007505093,10176
4009,4,67.34337,0,36.76471,47.26891,121.4341,138.5107,14.36163,0,0,18952,84.5,.5793735,20.4,1501,8523,9765,54,56.6,15713,.0836887,.1288742,.21059,.2510023,0,.5649462229,7452
4010,4,47.13569,0,40.72609,58.18013,109.1871,112.1183,8.649023,0,0,20957,94.2,.6642007,30.1,1568,10003,10916,38.5,25.8,21437,.1800159,.1251574,.2147689,.2574054,0,.2296496711,9001
4011,4,49.47639,6.239471,24.95788,43.6763,166.7303,96.78832,7.940289,6.243756,,21498,80.1,.5539236,16.9,1860,9532,11860,13.1,0,18107,.0858232,.1318275,.2348263,.3209256,0,.0004970453,9018
4012,4,57.21098,8.693384,17.38677,26.08015,115.3403,87.62283,0,8.707009,,9447,85.8,.5495049,21.5,721,3838,5359,0,0,19411,.0714543,.1301324,.2417701,.3415074,0,.0000515172,10039
4013,4,58.14674,0,29.97153,44.95729,118.2815,104.2481,0,0,0,7106,90.8,.5987553,17,574,3053,3820,0,24.5,7781,.0867498,.1330163,.2635908,.2481686,0,.1368718674,9025
4014,4,46.16254,0,37.25609,46.57011,135.5883,106.1909,6.040836,0,0,26970,90.8,.5758629,30.5,1931,12371,14154,40.3,36,25691,.1088708,.1477171,.221128,.2579113,0,.3510957145,9425
4015,4,52.21636,11.73158,35.19474,70.38949,103.1468,105.6423,0,7.363228,29.62963,15323,94.5,.6246364,24.5,1292,6876,8443,38.9,22,19151,.0834421,.1470419,.2330427,.2630672,0,.149861626,9126
4016,4,41.63079,0,11.74375,23.4875,108.2769,84.90196,10.69519,0,0,47960,85.4,.549149,27.3,3769,23327,24435,45.3,3.3,68956,.144991,.1640901,.2411538,.2042897,0,.056267765,11301
4017,4,46.09004,0,15.58069,28.04525,103.6461,79.12271,0,0,0,21743,86.5,.5955843,23.3,1625,9285,11976,31.8,2.5,42493,.0878733,.1615325,.2562304,.2038453,.3513519874,.0068246535,9689
4018,4,63.3959,1.871678,20.58846,37.43356,92.03866,131.4838,12.6167,0,3.619516,48148,82.9,.5512879,20.8,3812,24031,21400,40.7,58.9,49939,.0987204,.1665432,.2346863,.1816216,.6918240253,.4292837261,9334
4019,4,60.74405,0,9.472388,23.68097,124.3833,117.7495,14.38021,0,0,19765,88.6,.6078972,19.5,1800,9421,9486,25.2,30.2,19225,.0928479,.1417945,.2436411,.2189337,0,.2493107932,8897
4020,4,57.58924,0,0,0,152.9802,121.2296,28.81014,0,0,10681,87.9,.6093716,23.8,821,4567,5852,37,39.8,9614,.0709382,.1433326,.2403786,.2794882,0,.3846473892,9101
4021,4,59.62214,0,5.044645,10.08929,140.2574,122.5033,6.310741,0,0,21667,86.1,.5806779,21.3,1712,9854,10142,38.5,48,16798,.0903084,.1424574,.2275271,.2225265,0,.417728301,8428
4022,4,55.92202,0,19.5848,32.64134,137.9111,108.9787,0,0,0,15697,88.9,.6315935,22.2,1240,7242,7707,29,33.9,17369,.1229201,.1462376,.2374345,.2153837,0,.2732454373,9114
4023,4,45.3821,2.790257,13.95128,22.32205,103.239,73.51257,0,3.095017,0,24241,85.6,.6030138,32.1,1719,11547,12902,40.3,10.7,60006,.1670166,.163467,.2364097,.1799653,0,.0775422458,10141
4024,4,50.21872,0,49.72238,58.00945,124.6051,85.25615,52.35602,0,0,10574,87.8,.5458052,24,778,4148,6058,0,1.2,14897,.0923005,.1414379,.2421293,.2634088,0,.0038934014,8877
4025,4,63.32052,0,13.18913,39.5674,143.2665,83.32846,0,0,,6505,92.1,.6125281,16.6,514,2666,4069,0,0,10037,.0687456,.1203547,.2410083,.3320713,0,.0015941018,8240
4026,4,39.00112,6.151827,22.5567,45.1134,149.631,106.0492,8.045699,6.974311,0,47083,90.2,.5610524,33.1,2860,18091,29165,60.7,10.6,73397,.0773601,.1299644,.236808,.3403545,0,.075779664,11873
4027,4,46.53896,0,17.91473,44.78682,111.6168,90.53365,0,0,0,8509,95,.5761589,23.8,670,3624,4732,0,6.9,13948,.0867508,.152495,.2748064,.2171638,0,.0269572699,10344
4028,4,49.75391,0,11.73525,19.55875,123.022,85.75804,0,0,,25275,79.4,.5239805,20.4,2115,11697,13804,39.5,.1,31804,.0959313,.1446359,.2540561,.2535216,0,.0011004905,9757
4029,4,52.37788,5.141917,20.56767,35.99342,157.2062,97.15747,0,8.261049,0,20247,90.7,.5917886,26.3,1537,8062,11387,42.7,37.3,21621,.0814948,.1517969,.2319504,.2582674,0,.2988298414,8583
4030,4,37.14945,4.552698,9.105395,22.76349,116.1433,87.25489,0,5.319998,0,22552,92.3,.5650423,28.1,1682,10178,12010,43.7,14.6,26115,.0813326,.1385028,.2501245,.2699598,0,.1100899866,9164
4031,4,46.5284,0,17.70852,35.41703,159.5805,91.18887,0,0,0,11260,91.9,.5769057,27.3,786,4434,6508,32.9,20.8,13569,.0914585,.1384774,.235021,.2578672,0,.2149753114,9563
