Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,
Dr. Jekyll and Mr. Hyde,1931-1932,5th Academy Awards,11/18/1932,Best Actor,X,Fredric March,8/31/1897,35,
The Guardsman,1931-1932,5th Academy Awards,11/18/1932,Best Actor,,Alfred Lunt,8/12/1892,40,
The Sin of Madelon Claudet,1931-1932,5th Academy Awards,11/18/1932,Best Actress,X,Helen Hayes,10/10/1900,32,
Emma,1931-1932,5th Academy Awards,11/18/1932,Best Actress,,Marie Dressler,11/9/1868,64,
The Guardsman,1931-1932,5th Academy Awards,11/18/1932,Best Actress,,Lynn Fontanne,12/6/1887,44,
The Private Life of Henry VIII,1932-1933,6th Academy Awards,3/16/1934,Best Actor,X,Charles Laughton,7/1/1899,34,
Berkeley Square,1932-1933,6th Academy Awards,3/16/1934,Best Actor,,Leslie Howard,4/3/1893,40,
I am a Fugitive from a Chain Gang,1932-1933,6th Academy Awards,3/16/1934,Best Actor,,Paul Muni,9/22/1895,38,
Morning Glory,1932-1933,6th Academy Awards,3/16/1934,Best Actress,X,Katharine Hepburn,5/12/1907,26,
Lady for a Day,1932-1933,6th Academy Awards,3/16/1934,Best Actress,,May Robson,4/19/1858,75,
Cavalcade,1932-1933,6th Academy Awards,3/16/1934,Best Actress,,Diana Wynyard,1/16/1906,28,
It Happened One Night,1934,7th Academy Awards,2/27/1935,Best Actor,X,Clark Gable,2/1/1901,34,
The Affairs of Cellini,1934,7th Academy Awards,2/27/1935,Best Actor,,Frank Morgan,6/1/1890,44,
The Thin Man,1934,7th Academy Awards,2/27/1935,Best Actor,,William Powell,7/29/1892,42,
It Happened One Night,1934,7th Academy Awards,2/27/1935,Best Actress,X,Claudette Colbert,9/13/1903,31,
One Night of Love,1934,7th Academy Awards,2/27/1935,Best Actress,,Grace Moore,12/5/1898,36,
The Barretts of Wimpole Street,1934,7th Academy Awards,2/27/1935,Best Actress,,Norma Shearer,8/10/1902,32,
Of Human Bondage,1934,7th Academy Awards,2/27/1935,Best Actress,,Bette Davis (write-in candidate),4/5/1908,26,
The Informer,1935,8th Academy Awards,3/5/1936,Best Actor,X,Victor McLaglen,12/10/1886,49,
Black Fury,1935,8th Academy Awards,3/5/1936,Best Actor,,Paul Muni,9/22/1895,40,
Mutiny on the Bounty,1935,8th Academy Awards,3/5/1936,Best Actor,,Charles Laughton,7/1/1899,36,
Mutiny on the Bounty,1935,8th Academy Awards,3/5/1936,Best Actor,,Clark Gable,2/1/1901,35,
Mutiny on the Bounty,1935,8th Academy Awards,3/5/1936,Best Actor,,Franchot Tone,2/27/1905,31,
Dangerous,1935,8th Academy Awards,3/5/1936,Best Actress,X,Bette Davis,4/5/1908,27,
Escape Me Never,1935,8th Academy Awards,3/5/1936,Best Actress,,Elisabeth Bergner,8/22/1897,38,
Becky Sharp,1935,8th Academy Awards,3/5/1936,Best Actress,,Miriam Hopkins,10/18/1902,33,
Private Worlds,1935,8th Academy Awards,3/5/1936,Best Actress,,Claudette Colbert,9/13/1903,32,
Alice Adams,1935,8th Academy Awards,3/5/1936,Best Actress,,Katharine Hepburn,5/12/1907,28,
The Dark Angel,1935,8th Academy Awards,3/5/1936,Best Actress,,Merle Oberon,2/19/1911,25,
The Story of Louis Pasteur,1936,9th Academy Awards,3/4/1937,Best Actor,X,Paul Muni,9/22/1895,41,
Dodsworth,1936,9th Academy Awards,3/4/1937,Best Actor,,Walter Huston,4/5/1883,53,
My Man Godfrey,1936,9th Academy Awards,3/4/1937,Best Actor,,William Powell,7/29/1892,44,
San Francisco,1936,9th Academy Awards,3/4/1937,Best Actor,,Spencer Tracy,4/5/1900,36,
Mr. Deeds Goes to Town,1936,9th Academy Awards,3/4/1937,Best Actor,,Gary Cooper,5/7/1901,35,
The Great Ziegfeld,1936,9th Academy Awards,3/4/1937,Best Actress,X,Luise Rainer,1/12/1910,27,
Theodora Goes Wild,1936,9th Academy Awards,3/4/1937,Best Actress,,Irene Dunne,12/20/1898,38,
Romeo and Juliet,1936,9th Academy Awards,3/4/1937,Best Actress,,Norma Shearer,8/10/1902,34,
Valiant Is the Word for Carrie,1936,9th Academy Awards,3/4/1937,Best Actress,,Gladys George,9/13/1904,32,
My Man Godfrey,1936,9th Academy Awards,3/4/1937,Best Actress,,Carole Lombard,10/6/1908,28,
Come and Get It,1936,9th Academy Awards,3/4/1937,Best Supporting Actor,X,Walter Brennan,7/25/1894,42,
Romeo and Juliet,1936,9th Academy Awards,3/4/1937,Best Supporting Actor,,Basil Rathbone,6/13/1892,44,
The General Died at Dawn,1936,9th Academy Awards,3/4/1937,Best Supporting Actor,,Akim Tamiroff,10/29/1899,37,
Pigskin Parade,1936,9th Academy Awards,3/4/1937,Best Supporting Actor,,Stuart Erwin,2/14/1903,34,
My Man Godfrey,1936,9th Academy Awards,3/4/1937,Best Supporting Actor,,Mischa Auer,11/17/1905,31,
Anthony Adverse,1936,9th Academy Awards,3/4/1937,Best Supporting Actress,X,Gale Sondergaard,2/15/1899,38,
Dodsworth,1936,9th Academy Awards,3/4/1937,Best Supporting Actress,,Maria Ouspenskaya,7/29/1876,60,
The Gorgeous Hussy,1936,9th Academy Awards,3/4/1937,Best Supporting Actress,,Beulah Bondi,5/3/1888,48,
My Man Godfrey,1936,9th Academy Awards,3/4/1937,Best Supporting Actress,,Alice Brady,11/2/1892,44,
These Three,1936,9th Academy Awards,3/4/1937,Best Supporting Actress,,Bonita Granville,2/1/1923,14,
Captains Courageous,1937,10th Academy Awards,3/10/1938,Best Actor,X,Spencer Tracy,4/5/1900,37,
The Life of Emile Zola,1937,10th Academy Awards,3/10/1938,Best Actor,,Paul Muni,9/22/1895,42,
A Star Is Born,1937,10th Academy Awards,3/10/1938,Best Actor,,Fredric March,8/31/1897,40,
Conquest,1937,10th Academy Awards,3/10/1938,Best Actor,,Charles Boyer,8/28/1899,38,
Night Must Fall,1937,10th Academy Awards,3/10/1938,Best Actor,,Robert Montgomery,5/21/1904,33,
The Good Earth,1937,10th Academy Awards,3/10/1938,Best Actress,X,Luise Rainer,1/12/1910,28,
The Awful Truth,1937,10th Academy Awards,3/10/1938,Best Actress,,Irene Dunne,12/20/1898,39,
Camille,1937,10th Academy Awards,3/10/1938,Best Actress,,Greta Garbo,9/18/1905,32,
A Star Is Born,1937,10th Academy Awards,3/10/1938,Best Actress,,Janet Gaynor,10/6/1906,31,
Stella Dallas,1937,10th Academy Awards,3/10/1938,Best Actress,,Barbara Stanwyck,7/16/1907,30,
The Life of Emile Zola,1937,10th Academy Awards,3/10/1938,Best Supporting Actor,X,Joseph Schildkraut,3/22/1896,41,
Lost Horizon,1937,10th Academy Awards,3/10/1938,Best Supporting Actor,,H. B. Warner,10/26/1875,62,
Topper,1937,10th Academy Awards,3/10/1938,Best Supporting Actor,,Roland Young,11/11/1887,50,
The Hurricane,1937,10th Academy Awards,3/10/1938,Best Supporting Actor,,Thomas Mitchell,7/11/1892,45,
The Awful Truth,1937,10th Academy Awards,3/10/1938,Best Supporting Actor,,Ralph Bellamy,6/17/1904,33,
In Old Chicago,1937,10th Academy Awards,3/10/1938,Best Supporting Actress,X,Alice Brady,11/2/1892,45,
Night Must Fall,1937,10th Academy Awards,3/10/1938,Best Supporting Actress,,Dame May Whitty,6/19/1865,72,
Dead End,1937,10th Academy Awards,3/10/1938,Best Supporting Actress,,Claire Trevor,3/8/1910,28,
Stage Door,1937,10th Academy Awards,3/10/1938,Best Supporting Actress,,Andrea Leeds,8/14/1914,23,
Stella Dallas,1937,10th Academy Awards,3/10/1938,Best Supporting Actress,,Anne Shirley,4/17/1918,19,
Boys Town,1938,11th Academy Awards,2/23/1939,Best Actor,X,Spencer Tracy,4/5/1900,38,
Pygmalion,1938,11th Academy Awards,2/23/1939,Best Actor,,Leslie Howard,4/3/1893,45,
Angels with Dirty Faces,1938,11th Academy Awards,2/23/1939,Best Actor,,James Cagney,7/17/1899,39,
Algiers,1938,11th Academy Awards,2/23/1939,Best Actor,,Charles Boyer,8/28/1899,39,
The Citadel,1938,11th Academy Awards,2/23/1939,Best Actor,,Robert Donat,3/18/1905,33,
Jezebel,1938,11th Academy Awards,2/23/1939,Best Actress,X,Bette Davis,4/5/1908,30,
White Banners,1938,11th Academy Awards,2/23/1939,Best Actress,,Fay Bainter,12/7/1893,45,
Marie Antoinette,1938,11th Academy Awards,2/23/1939,Best Actress,,Norma Shearer,8/10/1902,36,
Three Comrades,1938,11th Academy Awards,2/23/1939,Best Actress,,Margaret Sullavan,5/16/1909,29,
Pygmalion,1938,11th Academy Awards,2/23/1939,Best Actress,,Wendy Hiller,8/15/1912,26,
Kentucky,1938,11th Academy Awards,2/23/1939,Best Supporting Actor,X,Walter Brennan,7/25/1894,44,
Algiers,1938,11th Academy Awards,2/23/1939,Best Supporting Actor,,Gene Lockhart,7/18/1891,47,
If I Were King,1938,11th Academy Awards,2/23/1939,Best Supporting Actor,,Basil Rathbone,6/13/1892,46,
Marie Antoinette,1938,11th Academy Awards,2/23/1939,Best Supporting Actor,,Robert Morley,5/26/1908,30,
Four Daughters,1938,11th Academy Awards,2/23/1939,Best Supporting Actor,,John Garfield,3/4/1913,25,
Jezebel,1938,11th Academy Awards,2/23/1939,Best Supporting Actress,X,Fay Bainter,12/7/1893,45,
Merrily We Live,1938,11th Academy Awards,2/23/1939,Best Supporting Actress,,Billie Burke,8/7/1884,54,
You Can't Take It With You,1938,11th Academy Awards,2/23/1939,Best Supporting Actress,,Spring Byington,10/17/1886,52,
Of Human Hearts,1938,11th Academy Awards,2/23/1939,Best Supporting Actress,,Beulah Bondi,5/3/1888,50,
The Great Waltz,1938,11th Academy Awards,2/23/1939,Best Supporting Actress,,Miliza Korjus,8/18/1909,29,
"Goodbye, Mr. Chips",1939,12th Academy Awards,2/29/1940,Best Actor,X,Robert Donat,3/18/1905,34,
Gone with the Wind,1939,12th Academy Awards,2/29/1940,Best Actor,,Clark Gable,2/1/1901,39,
Wuthering Heights,1939,12th Academy Awards,2/29/1940,Best Actor,,Laurence Olivier,5/22/1907,32,
Mr. Smith Goes to Washington,1939,12th Academy Awards,2/29/1940,Best Actor,,James Stewart,5/20/1908,31,
Babes in Arms,1939,12th Academy Awards,2/29/1940,Best Actor,,Mickey Rooney,9/23/1920,19,
Gone with the Wind,1939,12th Academy Awards,2/29/1940,Best Actress,X,Vivien Leigh,11/5/1913,26,
Love Affair,1939,12th Academy Awards,2/29/1940,Best Actress,,Irene Dunne,12/20/1898,41,
"Goodbye, Mr. Chips",1939,12th Academy Awards,2/29/1940,Best Actress,,Greer Garson,9/29/1904,35,
Ninotchka,1939,12th Academy Awards,2/29/1940,Best Actress,,Greta Garbo,9/18/1905,34,
Dark Victory,1939,12th Academy Awards,2/29/1940,Best Actress,,Bette Davis,4/5/1908,31,
Stagecoach,1939,12th Academy Awards,2/29/1940,Best Supporting Actor,X,Thomas Mitchell,7/11/1892,47,
Mr. Smith Goes to Washington,1939,12th Academy Awards,2/29/1940,Best Supporting Actor,,Harry Carey,1/16/1878,62,
Mr. Smith Goes to Washington,1939,12th Academy Awards,2/29/1940,Best Supporting Actor,,Claude Rains,11/10/1889,50,
Beau Geste,1939,12th Academy Awards,2/29/1940,Best Supporting Actor,,Brian Donlevy,2/9/1901,39,
Juarez,1939,12th Academy Awards,2/29/1940,Best Supporting Actor,,Brian Aherne,5/2/1902,37,
Gone with the Wind,1939,12th Academy Awards,2/29/1940,Best Supporting Actress,X,Hattie McDaniel,6/10/1895,44,
Love Affair,1939,12th Academy Awards,2/29/1940,Best Supporting Actress,,Maria Ouspenskaya,7/29/1876,63,
Drums Along the Mohawk,1939,12th Academy Awards,2/29/1940,Best Supporting Actress,,Edna May Oliver,11/9/1883,56,
Wuthering Heights,1939,12th Academy Awards,2/29/1940,Best Supporting Actress,,Geraldine Fitzgerald,11/24/1913,26,
Gone with the Wind,1939,12th Academy Awards,2/29/1940,Best Supporting Actress,,Olivia de Havilland,7/1/1916,23,
The Philadelphia Story,1940,13th Academy Awards,2/27/1941,Best Actor,X,James Stewart,5/20/1908,32,
The Great Dictator,1940,13th Academy Awards,2/27/1941,Best Actor,,Charles Chaplin,4/16/1889,51,
Abe Lincoln in Illinois,1940,13th Academy Awards,2/27/1941,Best Actor,,Raymond Massey,8/30/1896,44,
The Grapes of Wrath,1940,13th Academy Awards,2/27/1941,Best Actor,,Henry Fonda,5/16/1905,35,
Rebecca,1940,13th Academy Awards,2/27/1941,Best Actor,,Laurence Olivier,5/22/1907,33,
Kitty Foyle,1940,13th Academy Awards,2/27/1941,Best Actress,X,Ginger Rogers,7/16/1911,29,
The Philadelphia Story,1940,13th Academy Awards,2/27/1941,Best Actress,,Katharine Hepburn,5/12/1907,33,
The Letter,1940,13th Academy Awards,2/27/1941,Best Actress,,Bette Davis,4/5/1908,32,
Our Town,1940,13th Academy Awards,2/27/1941,Best Actress,,Martha Scott,9/22/1912,28,
Rebecca,1940,13th Academy Awards,2/27/1941,Best Actress,,Joan Fontaine,10/22/1917,23,
The Westerner,1940,13th Academy Awards,2/27/1941,Best Supporting Actor,X,Walter Brennan,7/25/1894,46,
Foreign Correspondent,1940,13th Academy Awards,2/27/1941,Best Supporting Actor,,Albert Bassermann,9/7/1867,73,
The Letter,1940,13th Academy Awards,2/27/1941,Best Supporting Actor,,James Stephenson,4/14/1889,51,
The Great Dictator,1940,13th Academy Awards,2/27/1941,Best Supporting Actor,,Jack Oakie,11/12/1903,37,
They Knew What They Wanted,1940,13th Academy Awards,2/27/1941,Best Supporting Actor,,William Gargan,7/17/1905,35,
The Grapes of Wrath,1940,13th Academy Awards,2/27/1941,Best Supporting Actress,X,Jane Darwell,10/15/1879,61,
Primrose Path,1940,13th Academy Awards,2/27/1941,Best Supporting Actress,,Marjorie Rambeau,7/15/1889,51,
Rebecca,1940,13th Academy Awards,2/27/1941,Best Supporting Actress,,Judith Anderson,2/10/1897,44,
"All This, and Heaven Too",1940,13th Academy Awards,2/27/1941,Best Supporting Actress,,Barbara O'Neil,7/17/1910,30,
The Philadelphia Story,1940,13th Academy Awards,2/27/1941,Best Supporting Actress,,Ruth Hussey,10/30/1911,29,
Sergeant York,1941,14th Academy Awards,2/26/1942,Best Actor,X,Gary Cooper,5/7/1901,40,
All That Money Can Buy,1941,14th Academy Awards,2/26/1942,Best Actor,,Walter Huston,4/5/1883,58,
Penny Serenade,1941,14th Academy Awards,2/26/1942,Best Actor,,Cary Grant,1/18/1904,38,
Here Comes Mr. Jordan,1941,14th Academy Awards,2/26/1942,Best Actor,,Robert Montgomery,5/21/1904,37,
Citizen Kane,1941,14th Academy Awards,2/26/1942,Best Actor,,Orson Welles,5/6/1915,26,
Suspicion,1941,14th Academy Awards,2/26/1942,Best Actress,X,Joan Fontaine,10/22/1917,24,
Blossoms in the Dust,1941,14th Academy Awards,2/26/1942,Best Actress,,Greer Garson,9/29/1904,37,
Ball of Fire,1941,14th Academy Awards,2/26/1942,Best Actress,,Barbara Stanwyck,7/16/1907,34,
The Little Foxes,1941,14th Academy Awards,2/26/1942,Best Actress,,Bette Davis,4/5/1908,33,
Hold Back the Dawn,1941,14th Academy Awards,2/26/1942,Best Actress,,Olivia de Havilland,7/1/1916,25,
How Green Was My Valley,1941,14th Academy Awards,2/26/1942,Best Supporting Actor,X,Donald Crisp,7/27/1882,59,
The Devil and Miss Jones,1941,14th Academy Awards,2/26/1942,Best Supporting Actor,,Charles Coburn,6/19/1877,64,
The Maltese Falcon,1941,14th Academy Awards,2/26/1942,Best Supporting Actor,,Sydney Greenstreet,12/27/1879,62,
Here Comes Mr. Jordan,1941,14th Academy Awards,2/26/1942,Best Supporting Actor,,James Gleason,5/23/1882,59,
Sergeant York,1941,14th Academy Awards,2/26/1942,Best Supporting Actor,,Walter Brennan,7/25/1894,47,
The Great Lie,1941,14th Academy Awards,2/26/1942,Best Supporting Actress,X,Mary Astor,5/3/1906,35,
How Green Was My Valley,1941,14th Academy Awards,2/26/1942,Best Supporting Actress,,Sara Allgood,10/15/1879,62,
Sergeant York,1941,14th Academy Awards,2/26/1942,Best Supporting Actress,,Margaret Wycherly,10/26/1881,60,
The Little Foxes,1941,14th Academy Awards,2/26/1942,Best Supporting Actress,,Patricia Collinge,9/20/1892,49,
The Little Foxes,1941,14th Academy Awards,2/26/1942,Best Supporting Actress,,Teresa Wright,10/27/1918,23,
Yankee Doodle Dandy,1942,15th Academy Awards,3/4/1943,Best Actor,X,James Cagney,7/17/1899,43,
The Pied Piper,1942,15th Academy Awards,3/4/1943,Best Actor,,Monty Woolley,8/17/1888,54,
Random Harvest,1942,15th Academy Awards,3/4/1943,Best Actor,,Ronald Colman,2/9/1891,52,
Mrs. Miniver,1942,15th Academy Awards,3/4/1943,Best Actor,,Walter Pidgeon,9/23/1897,45,
The Pride of the Yankees,1942,15th Academy Awards,3/4/1943,Best Actor,,Gary Cooper,5/7/1901,41,
Mrs. Miniver,1942,15th Academy Awards,3/4/1943,Best Actress,X,Greer Garson,9/29/1904,38,
Woman of the Year,1942,15th Academy Awards,3/4/1943,Best Actress,,Katharine Hepburn,5/12/1907,35,
My Sister Eileen,1942,15th Academy Awards,3/4/1943,Best Actress,,Rosalind Russell,6/4/1907,35,
"Now, Voyager",1942,15th Academy Awards,3/4/1943,Best Actress,,Bette Davis,4/5/1908,34,
The Pride of the Yankees,1942,15th Academy Awards,3/4/1943,Best Actress,,Teresa Wright,10/27/1918,24,
Johnny Eager,1942,15th Academy Awards,3/4/1943,Best Supporting Actor,X,Van Heflin,12/13/1910,32,
Mrs. Miniver,1942,15th Academy Awards,3/4/1943,Best Supporting Actor,,Henry Travers,3/5/1874,69,
Yankee Doodle Dandy,1942,15th Academy Awards,3/4/1943,Best Supporting Actor,,Walter Huston,4/5/1883,59,
Tortilla Flat,1942,15th Academy Awards,3/4/1943,Best Supporting Actor,,Frank Morgan,6/1/1890,52,
Wake Island,1942,15th Academy Awards,3/4/1943,Best Supporting Actor,,William Bendix,1/14/1906,37,
Mrs. Miniver,1942,15th Academy Awards,3/4/1943,Best Supporting Actress,X,Teresa Wright,10/27/1918,24,
Mrs. Miniver,1942,15th Academy Awards,3/4/1943,Best Supporting Actress,,Dame May Whitty,6/19/1865,77,
"Now, Voyager",1942,15th Academy Awards,3/4/1943,Best Supporting Actress,,Gladys Cooper,12/18/1888,54,
The Magnificent Ambersons,1942,15th Academy Awards,3/4/1943,Best Supporting Actress,,Agnes Moorehead,12/6/1900,42,
Random Harvest,1942,15th Academy Awards,3/4/1943,Best Supporting Actress,,Susan Peters,7/3/1921,21,
Watch on the Rhine,1943,16th Academy Awards,3/2/1944,Best Actor,X,Paul Lukas,5/26/1891,52,
Madame Curie,1943,16th Academy Awards,3/2/1944,Best Actor,,Walter Pidgeon,9/23/1897,46,
Casablanca,1943,16th Academy Awards,3/2/1944,Best Actor,,Humphrey Bogart,12/25/1899,44,
For Whom the Bell Tolls,1943,16th Academy Awards,3/2/1944,Best Actor,,Gary Cooper,5/7/1901,42,
The Human Comedy,1943,16th Academy Awards,3/2/1944,Best Actor,,Mickey Rooney,9/23/1920,23,
The Song of Bernadette,1943,16th Academy Awards,3/2/1944,Best Actress,X,Jennifer Jones,3/2/1919,25,
The More the Merrier,1943,16th Academy Awards,3/2/1944,Best Actress,,Jean Arthur,10/17/1900,43,
Madame Curie,1943,16th Academy Awards,3/2/1944,Best Actress,,Greer Garson,9/29/1904,39,
For Whom the Bell Tolls,1943,16th Academy Awards,3/2/1944,Best Actress,,Ingrid Bergman,8/29/1915,28,
The Constant Nymph,1943,16th Academy Awards,3/2/1944,Best Actress,,Joan Fontaine,10/22/1917,26,
The More the Merrier,1943,16th Academy Awards,3/2/1944,Best Supporting Actor,X,Charles Coburn,6/19/1877,66,
Casablanca,1943,16th Academy Awards,3/2/1944,Best Supporting Actor,,Claude Rains,11/10/1889,54,
The Song of Bernadette,1943,16th Academy Awards,3/2/1944,Best Supporting Actor,,Charles Bickford,1/1/1891,53,
Sahara,1943,16th Academy Awards,3/2/1944,Best Supporting Actor,,J. Carrol Naish,1/21/1896,48,
For Whom the Bell Tolls,1943,16th Academy Awards,3/2/1944,Best Supporting Actor,,Akim Tamiroff,10/29/1899,44,
For Whom the Bell Tolls,1943,16th Academy Awards,3/2/1944,Best Supporting Actress,X,Katina Paxinou,12/17/1900,43,
Watch on the Rhine,1943,16th Academy Awards,3/2/1944,Best Supporting Actress,,Lucile Watson,5/27/1879,64,
The Song of Bernadette,1943,16th Academy Awards,3/2/1944,Best Supporting Actress,,Gladys Cooper,12/18/1888,55,
The Song of Bernadette,1943,16th Academy Awards,3/2/1944,Best Supporting Actress,,Anne Revere,6/25/1903,40,
So Proudly We Hail!,1943,16th Academy Awards,3/2/1944,Best Supporting Actress,,Paulette Goddard,6/3/1910,33,
Going My Way,1944,17th Academy Awards,3/15/1945,Best Actor,X,Bing Crosby,5/3/1903,41,
Going My Way,1944,17th Academy Awards,3/15/1945,Best Actor,,Barry Fitzgerald,3/10/1888,57,
Gaslight,1944,17th Academy Awards,3/15/1945,Best Actor,,Charles Boyer,8/28/1899,45,
None But the Lonely Heart,1944,17th Academy Awards,3/15/1945,Best Actor,,Cary Grant,1/18/1904,41,
Wilson,1944,17th Academy Awards,3/15/1945,Best Actor,,Alexander Knox,1/16/1907,38,
Gaslight,1944,17th Academy Awards,3/15/1945,Best Actress,X,Ingrid Bergman,8/29/1915,29,
Since You Went Away,1944,17th Academy Awards,3/15/1945,Best Actress,,Claudette Colbert,9/13/1903,41,
Mrs. Parkington,1944,17th Academy Awards,3/15/1945,Best Actress,,Greer Garson,9/29/1904,40,
Double Indemnity,1944,17th Academy Awards,3/15/1945,Best Actress,,Barbara Stanwyck,7/16/1907,37,
Mr. Skeffington,1944,17th Academy Awards,3/15/1945,Best Actress,,Bette Davis,4/5/1908,36,
Going My Way,1944,17th Academy Awards,3/15/1945,Best Supporting Actor,X,Barry Fitzgerald,3/10/1888,57,
Since You Went Away,1944,17th Academy Awards,3/15/1945,Best Supporting Actor,,Monty Woolley,8/17/1888,56,
Mr. Skeffington,1944,17th Academy Awards,3/15/1945,Best Supporting Actor,,Claude Rains,11/10/1889,55,
Laura,1944,17th Academy Awards,3/15/1945,Best Supporting Actor,,Clifton Webb,11/19/1889,55,
The Seventh Cross,1944,17th Academy Awards,3/15/1945,Best Supporting Actor,,Hume Cronyn,7/18/1911,33,
None But the Lonely Heart,1944,17th Academy Awards,3/15/1945,Best Supporting Actress,X,Ethel Barrymore,8/15/1879,65,
Dragon Seed,1944,17th Academy Awards,3/15/1945,Best Supporting Actress,,Aline MacMahon,5/3/1899,45,
