CASE..,RIDESHARE,DATE,YEAR,MONTH,DAY,OFFENSE,ADDRESS,ZIP,ARREST
2015-10778  ,HERE,2015-01-01  ,2015,1,1,DWI 2ND  ,SPICEWOOD SPRINGS RD at N US 183 HWY SVRD SB  ,78750,Yes
2015-10835  ,HERE,2015-01-01  ,2015,1,1,DWI 2ND  ,S IH 35 SVRD SB at E WILLIAM CANNON DR  ,78745,Yes
2015-10992  ,HERE,2015-01-01  ,2015,1,1,DWI  ,1100 BASTROP HWY SB  ,78741,Yes
2015-10999  ,HERE,2015-01-01  ,2015,1,1,DWI  ,5901 BURNET RD  ,78757,Yes
2015-11034  ,HERE,2015-01-01  ,2015,1,1,DWI - DRUG RECOGNITION EXPERT  ,1143 AIRPORT BLVD  ,78721,Yes
2015-11135  ,HERE,2015-01-01  ,2015,1,1,DWI .15 BAC OR ABOVE  ,100 E YAGER LN  ,78753,Yes
2015-11578  ,HERE,2015-01-01  ,2015,1,1,DWI  ,13200 N US 183 HWY SB  ,78750,Yes
2015-11830  ,HERE,2015-01-01  ,2015,1,1,DWI .15 BAC OR ABOVE  ,7400 S IH 35 SB  ,78745,Yes
2015-10312  ,HERE,2015-01-01  ,2015,1,1,DWI  ,1600 BLOCK S PLEASANT VALLEY RD  ,78741,No
2015-12021  ,HERE,2015-01-02  ,2015,1,2,DWI  ,11900 RESEARCH BLVD SVRD NB  ,78727,Yes
2015-20020  ,HERE,2015-01-02  ,2015,1,2,DWI .15 BAC OR ABOVE  ,CAMERON RD at MC KIE DR  ,78752,Yes
2015-20047  ,HERE,2015-01-02  ,2015,1,2,DWI  ,100 W 6TH ST  ,78701,Yes
2015-20050  ,HERE,2015-01-02  ,2015,1,2,DWI  ,2300 E MARTIN LUTHER KING JR BLVD  ,78722,Yes
2015-20085  ,HERE,2015-01-02  ,2015,1,2,DWI  ,1000 S 1ST ST  ,78704,Yes
2015-20101  ,HERE,2015-01-02  ,2015,1,2,DWI 2ND  ,1516 BURTON DR  ,78741,Yes
2015-20643  ,HERE,2015-01-02  ,2015,1,2,DWI 2ND  ,3100 BLOCK OAK SPRINGS DR  ,78702,Yes
2015-21533  ,HERE,2015-01-02  ,2015,1,2,DWI  ,9400 MIDDLE FISKVILLE RD  ,78753,Yes
2015-21597  ,HERE,2015-01-02  ,2015,1,2,DWI 2ND  ,13400 N US 183 HWY SVRD NB  ,78729,Yes
2015-21624  ,HERE,2015-01-02  ,2015,1,2,DWI  ,2400 GUADALUPE ST  ,78705,Yes
2015-21624  ,HERE,2015-01-02  ,2015,1,2,DWI - DRUG RECOGNITION EXPERT  ,2400 GUADALUPE ST  ,78705,Yes
2015-5000221  ,HERE,2015-01-02  ,2015,1,2,DWI 2ND  ,3100 BLOCK OAK SPRINGS DR  ,78702,No
2015-30062  ,HERE,2015-01-03  ,2015,1,3,DWI  ,6105 TECHNI CENTER DR  ,78721,Yes
2015-30102  ,HERE,2015-01-03  ,2015,1,3,DWI  ,306 W RUNDBERG LN  ,78753,Yes
2015-30105  ,HERE,2015-01-03  ,2015,1,3,DWI  ,10205 N LAMAR BLVD  ,78753,Yes
2015-30134  ,HERE,2015-01-03  ,2015,1,3,DWI  ,E 7TH ST at SAN JACINTO BLVD  ,78701,Yes
2015-30182  ,HERE,2015-01-03  ,2015,1,3,DWI  ,1600 W 6TH ST  ,78703,Yes
2015-30211  ,HERE,2015-01-03  ,2015,1,3,DWI 2ND  ,10,N/A  ,Yes
2015-30233  ,HERE,2015-01-03  ,2015,1,3,DWI  ,9300 S. IH 35 SVC RD  ,N/A  ,Yes
2015-30280  ,HERE,2015-01-03  ,2015,1,3,DWI  ,10100 OLD SAN ANTONIO RD  ,78748,Yes
2015-30363  ,HERE,2015-01-03  ,2015,1,3,DWI  ,4800 BLOCK PUTTERS CV  ,78744,Yes
2015-31393  ,HERE,2015-01-03  ,2015,1,3,DWI  ,5445 W US 290 HWY SVRD EB  ,78749,Yes
2015-31497  ,HERE,2015-01-03  ,2015,1,3,DWI 2ND  ,4600 BLOCK S US 183 HWY NB  ,78719,Yes
2015-31568  ,HERE,2015-01-03  ,2015,1,3,DWI  ,900 RUTLAND DR  ,78758,Yes
2015-31755  ,HERE,2015-01-03  ,2015,1,3,DWI  ,2700 MLK BLVD  ,N/A  ,Yes
2015-31760  ,HERE,2015-01-03  ,2015,1,3,DWI  ,W BRAKER LN at N LAMAR BLVD  ,78758,Yes
2016-31255  ,HERE,2015-01-03  ,2015,1,3,DWI  ,2008 S CONGRESS AVE  ,78704,Yes
2015-31752  ,HERE,2015-01-04  ,2015,1,4,DWI 2ND  ,5111 LOYOLA LN  ,78723,Yes
2015-40016  ,HERE,2015-01-04  ,2015,1,4,DWI  ,7601 N LAMAR BLVD SVRD NB  ,78752,Yes
2015-40028  ,HERE,2015-01-04  ,2015,1,4,DWI 2ND  ,8600 W HWY 71  ,N/A  ,Yes
2015-40074  ,HERE,2015-01-04  ,2015,1,4,DWI  ,1400 BLOCK N MOPAC EXPY NB  ,78703,Yes
2015-40075  ,HERE,2015-01-04  ,2015,1,4,DWI - DRUG RECOGNITION EXPERT  ,1100 W 6TH ST  ,78703,Yes
2015-40075  ,HERE,2015-01-04  ,2015,1,4,DWI  ,1100 W 6TH ST  ,78703,Yes
2015-40186  ,HERE,2015-01-04  ,2015,1,4,DWI  ,E ANDERSON LN SVRD WB at NORTHCREST BLVD  ,78753,Yes
2015-40197  ,HERE,2015-01-04  ,2015,1,4,DWI  ,2700 N MOPAC EXPY NB  ,78703,Yes
2015-40232  ,HERE,2015-01-04  ,2015,1,4,DWI  ,701 WOODWARD ST  ,78704,Yes
2015-40262  ,HERE,2015-01-04  ,2015,1,4,DWI .15 BAC OR ABOVE  ,2020 E RIVERSIDE DR  ,78741,Yes
2015-40265  ,HERE,2015-01-04  ,2015,1,4,DWI  ,4400 BLOCK E RIVERSIDE DR  ,78741,Yes
2015-40269  ,HERE,2015-01-04  ,2015,1,4,DWI  ,1100 BLOCK AIRPORT BLVD  ,78702,Yes
2015-40369  ,HERE,2015-01-04  ,2015,1,4,DWI - DRUG RECOGNITION EXPERT  ,300 W BEN WHITE BLVD WB  ,78704,Yes
2015-41174  ,HERE,2015-01-04  ,2015,1,4,DWI  ,OAK SPRINGS RD at AIRPORT BLVD  ,N/A  ,Yes
2015-41293  ,HERE,2015-01-04  ,2015,1,4,DWI  ,100 S 1ST ST  ,78704,Yes
2015-41387  ,HERE,2015-01-04  ,2015,1,4,DWI 2ND  ,3200 E SH 71 EB  ,78617,Yes
2015-41396  ,HERE,2015-01-04  ,2015,1,4,DWI  ,2000 BLOCK I-35 N  ,78722,Yes
2015-41430  ,HERE,2015-01-04  ,2015,1,4,DWI  ,2500 DURWOOD ST  ,78704,Yes
2015-41517  ,HERE,2015-01-04  ,2015,1,4,DWI  ,7900 N MOPAC EXPY NB  ,78731,Yes
2015-40108  ,HERE,2015-01-04  ,2015,1,4,DWI  ,ED BLUESTEIN BLVD NB at E 51ST ST  ,78724,No
2015-50074  ,HERE,2015-01-05  ,2015,1,5,DWI .15 BAC OR ABOVE  ,12900 N US 183 HWY SB  ,78750,Yes
2015-50087  ,HERE,2015-01-05  ,2015,1,5,DWI  ,100 S 1ST ST  ,78704,Yes
2015-50097  ,HERE,2015-01-05  ,2015,1,5,DWI 2ND  ,7300 BLOCK S CONGRESS AVE  ,78745,Yes
2015-50129  ,HERE,2015-01-05  ,2015,1,5,DWI  ,800 W 6TH ST  ,78701,Yes
2015-50130  ,HERE,2015-01-05  ,2015,1,5,DWI  ,9515 N LAMAR BLVD  ,78753,Yes
2015-50144  ,HERE,2015-01-05  ,2015,1,5,DWI .15 BAC OR ABOVE  ,DUVAL RD at N MOPAC EXPY SVRD SB  ,78758,Yes
2015-50144  ,HERE,2015-01-05  ,2015,1,5,DWI  ,DUVAL RD at N MOPAC EXPY SVRD SB  ,78758,Yes
2015-50165  ,HERE,2015-01-05  ,2015,1,5,DWI  ,7801 I-35 N  ,78753,Yes
2015-50196  ,HERE,2015-01-05  ,2015,1,5,DWI  ,9100 RESEARCH BLVD NB  ,78758,Yes
2015-50202  ,HERE,2015-01-05  ,2015,1,5,DWI  ,200 W OLTORF ST  ,78704,Yes
2015-50279  ,HERE,2015-01-05  ,2015,1,5,DWI  ,800 BLOCK E 5TH ST  ,78702,Yes
2015-50516  ,HERE,2015-01-05  ,2015,1,5,DWI  ,3267 BEE CAVES RD  ,78746,Yes
2015-51052  ,HERE,2015-01-05  ,2015,1,5,DWI  ,3708 CLARKSON AVE  ,78722,Yes
2015-51415  ,HERE,2015-01-05  ,2015,1,5,DWI 2ND  ,GEORGIAN DR at E ANDERSON LN SVRD WB  ,78753,Yes
2015-51600  ,HERE,2015-01-05  ,2015,1,5,DWI  ,2315 LAKE AUSTIN BLVD  ,78703,Yes
2015-51769  ,HERE,2015-01-05  ,2015,1,5,DWI  ,1100 S PLEASANT VALLEY RD  ,78741,Yes
2016-51811  ,HERE,2015-01-05  ,2015,1,5,DWI 2ND  ,100 W 5TH ST  ,78701,Yes
2015-60001  ,HERE,2015-01-06  ,2015,1,6,DWI  ,500 N LAMAR BLVD  ,78703,Yes
2015-60080  ,HERE,2015-01-06  ,2015,1,6,DWI  ,1500 S LAMAR BLVD  ,78704,Yes
2015-60082  ,HERE,2015-01-06  ,2015,1,6,DWI  ,800 E RUNDBERG LN  ,78753,Yes
2015-60095  ,HERE,2015-01-06  ,2015,1,6,DWI  ,3200 S 1ST ST  ,78704,Yes
2015-60164  ,HERE,2015-01-06  ,2015,1,6,DWI  ,900 W 5TH ST  ,78703,Yes
2015-61530  ,HERE,2015-01-06  ,2015,1,6,DWI .15 BAC OR ABOVE  ,900 BLOCK FAIRFIELD DR  ,78758,Yes
2015-61540  ,HERE,2015-01-06  ,2015,1,6,DWI 2ND  ,1919 BURTON DR  ,78741,Yes
2015-61712  ,HERE,2015-01-06  ,2015,1,6,DWI  ,1100 W 6TH ST  ,78703,Yes
2015-70020  ,HERE,2015-01-07  ,2015,1,7,DWI  ,200 S LAMAR BLVD  ,N/A  ,Yes
2015-70039  ,HERE,2015-01-07  ,2015,1,7,DWI  ,4500 DEPEW AVE  ,78751,Yes
2015-70101  ,HERE,2015-01-07  ,2015,1,7,DWI  ,W BEN WHITE BLVD SVRD WB at S 1ST ST  ,78704,Yes
2015-70130  ,HERE,2015-01-07  ,2015,1,7,DWI  ,4200 BLOCK S CONGRESS AVE  ,78745,Yes
2015-70143  ,HERE,2015-01-07  ,2015,1,7,DWI  ,321 W BEN WHITE BLVD SVRD EB  ,78745,Yes
2015-70146  ,HERE,2015-01-07  ,2015,1,7,DWI  ,2300 LAKE AUSTIN BLVD  ,78703,Yes
2015-70292  ,HERE,2015-01-07  ,2015,1,7,DWI .15 BAC OR ABOVE  ,10900 HUMINGTON DR  ,78758,Yes
2015-71591  ,HERE,2015-01-07  ,2015,1,7,DWI - DRUG RECOGNITION EXPERT  ,E 7TH ST at GUNTER ST  ,78702,Yes
2015-71658  ,HERE,2015-01-07  ,2015,1,7,DWI .15 BAC OR ABOVE  ,1601 I-35 N  ,78702,Yes
2015-71672  ,HERE,2015-01-07  ,2015,1,7,DWI  ,2500 N LAMAR BLVD  ,78705,Yes
2015-71761  ,HERE,2015-01-07  ,2015,1,7,DWI  ,900 RESEARCH BLVDSVRD SB  ,N/A  ,Yes
2015-71787  ,HERE,2015-01-07  ,2015,1,7,DWI .15 BAC OR ABOVE  ,13500 S IH 35 NB  ,78747,Yes
2015-80004  ,HERE,2015-01-08  ,2015,1,8,DWI  ,100 BLOCK S 1ST ST  ,78704,Yes
2015-80098  ,HERE,2015-01-08  ,2015,1,8,DWI  ,6902 COLONY PARK DR  ,78724,Yes
2015-80100  ,HERE,2015-01-08  ,2015,1,8,DWI  ,800 W 6TH ST  ,78701,Yes
2015-80124  ,HERE,2015-01-08  ,2015,1,8,DWI .15 BAC OR ABOVE  ,1600 E 7TH ST  ,78702,Yes
2015-80132  ,HERE,2015-01-08  ,2015,1,8,DWI  ,700 BLOCK I-35 N  ,78702,Yes
2015-80144  ,HERE,2015-01-08  ,2015,1,8,DWI 2ND  ,1100 AIRPORT BLVD  ,78702,Yes
2015-80152  ,HERE,2015-01-08  ,2015,1,8,DWI .15 BAC OR ABOVE  ,5100 TURNSTONE DR  ,78744,Yes
2015-80157  ,HERE,2015-01-08  ,2015,1,8,DWI  ,KOENIG EB TO N IH 35 SB RAMP at I-35 N AT E 290 TR  ,78751,Yes
2015-80175  ,HERE,2015-01-08  ,2015,1,8,DWI .15 BAC OR ABOVE  ,6800 BLOCK S IH 35 NB  ,78744,Yes
2015-81359  ,HERE,2015-01-08  ,2015,1,8,DWI 2ND  ,N MOPAC EXPY SVRD SB at W BRAKER LN  ,78759,Yes
2015-81373  ,HERE,2015-01-08  ,2015,1,8,DWI  ,6300 S IH 35 SVRD SB  ,78745,Yes
2015-81786  ,HERE,2015-01-08  ,2015,1,8,DWI  ,1700 N MOPAC EXPY NB  ,78703,Yes
2015-100146  ,HERE,2015-01-09  ,2015,1,9,DWI  ,8400 BLOCK DULCET DR  ,78745,Yes
2015-90079  ,HERE,2015-01-09  ,2015,1,9,DWI  ,1300 S IH 35 SB  ,78704,Yes
2015-90081  ,HERE,2015-01-09  ,2015,1,9,DWI - DRUG RECOGNITION EXPERT  ,6810 COLONY PARK DR  ,78724,Yes
2015-90106  ,HERE,2015-01-09  ,2015,1,9,DWI  ,1400 HARTFORD RD  ,78703,Yes
2015-90128  ,HERE,2015-01-09  ,2015,1,9,DWI  ,100 LAVACA ST  ,78701,Yes
2015-90131  ,HERE,2015-01-09  ,2015,1,9,DWI  ,500 BLOCK E 6TH ST  ,78701,Yes
2015-90141  ,HERE,2015-01-09  ,2015,1,9,DWI  ,1500 W 29TH ST  ,78703,Yes
2015-90150  ,HERE,2015-01-09  ,2015,1,9,DWI  ,E CESAR CHAVEZ ST at RED RIVER ST  ,78701,Yes
2015-90160  ,HERE,2015-01-09  ,2015,1,9,DWI  ,5000 E CESAR CHAVEZ ST  ,78702,Yes
2015-90177  ,HERE,2015-01-09  ,2015,1,9,DWI 2ND  ,9600 S IH 35 SVRD SB  ,78748,Yes
2015-90181  ,HERE,2015-01-09  ,2015,1,9,DWI  ,4500 BLOCK GUADALUPE ST  ,78751,Yes
2015-90203  ,HERE,2015-01-09  ,2015,1,9,DWI  ,4700 W GUADALUPE ST  ,78751,Yes
2015-90242  ,HERE,2015-01-09  ,2015,1,9,DWI  ,12041 DESSAU RD  ,78754,Yes
2015-90262  ,HERE,2015-01-09  ,2015,1,9,DWI  ,303 E OLTORF ST  ,78704,Yes
2015-90433  ,HERE,2015-01-09  ,2015,1,9,DWI  ,6700 W US 290 HWY  ,78735,Yes
2015-90433  ,HERE,2015-01-09  ,2015,1,9,DWI - DRUG RECOGNITION EXPERT  ,6700 W US 290 HWY  ,78735,Yes
2015-91079  ,HERE,2015-01-09  ,2015,1,9,DWI  ,8400 S CONGRESS AVE  ,78748,Yes
2015-91638  ,HERE,2015-01-09  ,2015,1,9,DWI  ,9000 BLOCK ANDERSON MILL RD  ,78729,Yes
2015-91650  ,HERE,2015-01-09  ,2015,1,9,DWI  ,8200 SAM RAYBURN DR  ,78753,Yes
2015-91650  ,HERE,2015-01-09  ,2015,1,9,DWI .15 BAC OR ABOVE  ,8200 SAM RAYBURN DR  ,78753,Yes
2015-91669  ,HERE,2015-01-09  ,2015,1,9,DWI  ,1700 ROYAL HILL DR  ,78741,Yes
2015-150090131  ,HERE,2015-01-09  ,2015,1,9,DWI  ,500 BLOCK E 6TH ST  ,78701,No
2015-90206  ,HERE,2015-01-09  ,2015,1,9,DWI  ,12600 N IH 35 SB  ,78753,No
2015-100030  ,HERE,2015-01-10  ,2015,1,10,DWI  ,3500 E 7TH ST  ,78702,Yes
2015-100039  ,HERE,2015-01-10  ,2015,1,10,DWI  ,10 I-35 N  ,78701,Yes
2015-100086  ,HERE,2015-01-10  ,2015,1,10,DWI  ,9520 SPECTRUM DR  ,78717,Yes
2015-100090  ,HERE,2015-01-10  ,2015,1,10,DWI  ,12001 I-35 N  ,78753,Yes
2015-100109  ,HERE,2015-01-10  ,2015,1,10,DWI  ,800 E RUNDBERG LN  ,78753,Yes
2015-100135  ,HERE,2015-01-10  ,2015,1,10,DWI  ,600 BLOCK S CONGRESS AVE  ,78704,Yes
2015-100157  ,HERE,2015-01-10  ,2015,1,10,DWI  ,8805 NORTH PLZ  ,78753,Yes
2015-100158  ,HERE,2015-01-10  ,2015,1,10,DWI  ,W 5TH ST AND COLORADO  ,N/A  ,Yes
2015-100186  ,HERE,2015-01-10  ,2015,1,10,DWI .15 BAC OR ABOVE  ,10100 RESEARCH BLVD SB  ,78759,Yes
2015-100186  ,HERE,2015-01-10  ,2015,1,10,DWI  ,10100 RESEARCH BLVD SB  ,78759,Yes
2015-100190  ,HERE,2015-01-10  ,2015,1,10,DWI  ,5100 BLK N IH 35 SVRD  ,N/A  ,Yes
2015-100211  ,HERE,2015-01-10  ,2015,1,10,DWI .15 BAC OR ABOVE  ,1400 E RUNDBERG LN  ,78753,Yes
2015-100256  ,HERE,2015-01-10  ,2015,1,10,DWI  ,6007 I-35 N  ,78723,Yes
2015-100257  ,HERE,2015-01-10  ,2015,1,10,DWI .15 BAC OR ABOVE  ,800 W CESAR CHAVEZ ST  ,78701,Yes
2015-100261  ,HERE,2015-01-10  ,2015,1,10,DWI  ,W SLAUGHTER LN at MANCHACA RD  ,78748,Yes
2015-100269  ,HERE,2015-01-10  ,2015,1,10,DWI  ,1500 ENFIELD RD  ,78703,Yes
2015-100288  ,HERE,2015-01-10  ,2015,1,10,DWI  ,12900 S IH 35 NB  ,78747,Yes
2015-100310  ,HERE,2015-01-10  ,2015,1,10,DWI  ,700 AIRPORT BLVD  ,78702,Yes
2015-100319  ,HERE,2015-01-10  ,2015,1,10,DWI 2ND  ,3112 E CESAR CHAVEZ ST  ,78702,Yes
2015-100320  ,HERE,2015-01-10  ,2015,1,10,DWI  ,5521 WAR ADMIRAL DR  ,78617,Yes
2015-100323  ,HERE,2015-01-10  ,2015,1,10,DWI  ,W SLAUGHTER LN at CURLEW DR  ,78748,Yes
2015-100323  ,HERE,2015-01-10  ,2015,1,10,DWI - DRUG RECOGNITION EXPERT  ,W SLAUGHTER LN at CURLEW DR  ,78748,Yes
2015-100447  ,HERE,2015-01-10  ,2015,1,10,DWI  ,6800 BLOCK MEADOW LAKE BLVD  ,78744,Yes
2015-101411  ,HERE,2015-01-10  ,2015,1,10,DWI  ,9700 N MOPAC EXPY SVRD NB  ,78759,Yes
2015-101468  ,HERE,2015-01-10  ,2015,1,10,DWI  ,TINNIN FORD RD at ELMONT DR  ,78741,Yes
2015-101482  ,HERE,2015-01-10  ,2015,1,10,DWI .15 BAC OR ABOVE  ,3300 BLOCK W BRAKER LN  ,78758,Yes
2015-101500  ,HERE,2015-01-10  ,2015,1,10,DWI  ,5500 BLOCK MANOWAR STRETCH DR  ,78617,Yes
2015-101502  ,HERE,2015-01-10  ,2015,1,10,DWI  ,9000 N LAMAR BLVD  ,78758,Yes
2015-150100320  ,HERE,2015-01-10  ,2015,1,10,DWI  ,5521 WAR ADMIRAL DR  ,78617,Yes
2015-91712  ,HERE,2015-01-10  ,2015,1,10,DWI 2ND  ,5601 AINEZ DR  ,78744,Yes
2015-91735  ,HERE,2015-01-10  ,2015,1,10,DWI  ,3800 S CONGRESS AVE  ,78704,Yes
2015-110035  ,HERE,2015-01-11  ,2015,1,11,DWI  ,E 12TH ST at I-35 N  ,N/A  ,Yes
2015-110071  ,HERE,2015-01-11  ,2015,1,11,DWI  ,600 BLK MARY  ,N/A  ,Yes
2015-110107  ,HERE,2015-01-11  ,2015,1,11,DWI  ,700 BLOCK OF W 6TH STREET  ,N/A  ,Yes
2015-110120  ,HERE,2015-01-11  ,2015,1,11,DWI  ,600 SAN JACINTO BLVD  ,78701,Yes
2015-110125  ,HERE,2015-01-11  ,2015,1,11,DWI  ,W 46TH ST at W GUADALUPE ST  ,78751,Yes
2015-110168  ,HERE,2015-01-11  ,2015,1,11,DWI  ,LAMPLIGHT VILLAGE AVE at W PARMER LN  ,78727,Yes
2015-110211  ,HERE,2015-01-11  ,2015,1,11,DWI  ,11101 I-35 N  ,78753,Yes
2015-110232  ,HERE,2015-01-11  ,2015,1,11,DWI  ,600 SAN JACINTO BLVD  ,78701,Yes
2015-110270  ,HERE,2015-01-11  ,2015,1,11,DWI  ,211 S LAMAR BLVD NB  ,78704,Yes
2015-110284  ,HERE,2015-01-11  ,2015,1,11,DWI - DRUG RECOGNITION EXPERT  ,5326 MANCHACA RD  ,78745,Yes
2015-110406  ,HERE,2015-01-11  ,2015,1,11,DWI - DRUG RECOGNITION EXPERT  ,900 E CESAR CHAVEZ ST  ,78702,Yes
2015-110406  ,HERE,2015-01-11  ,2015,1,11,DWI  ,900 E CESAR CHAVEZ ST  ,78702,Yes
2015-110429  ,HERE,2015-01-11  ,2015,1,11,DWI - DRUG RECOGNITION EXPERT  ,3563 FAR WEST BLVD  ,78731,Yes
2015-110957  ,HERE,2015-01-11  ,2015,1,11,DWI 2ND  ,1600 E RIVERSIDE DR  ,78741,Yes
2015-111021  ,HERE,2015-01-11  ,2015,1,11,DWI  ,9503 QUAIL CT  ,78758,Yes
2015-111171  ,HERE,2015-01-11  ,2015,1,11,DWI  ,GEORGIAN DR at E RUNDBERG LN  ,78753,Yes
2015-111244  ,HERE,2015-01-11  ,2015,1,11,DWI .15 BAC OR ABOVE  ,600 WOOD ST  ,78703,Yes
2015-111257  ,HERE,2015-01-11  ,2015,1,11,DWI  ,1100 BLOCK W 5TH ST  ,78703,Yes
2015-111381  ,HERE,2015-01-11  ,2015,1,11,DWI  ,4410 E RIVERSIDE DR  ,78741,Yes
2015-111391  ,HERE,2015-01-11  ,2015,1,11,DWI - DRUG RECOGNITION EXPERT  ,MONTOPOLIS DR at E RIVERSIDE DR  ,78741,Yes
2015-111402  ,HERE,2015-01-11  ,2015,1,11,DWI .15 BAC OR ABOVE  ,833 FAIRFIELD DR  ,78758,Yes
2015-111114  ,HERE,2015-01-12  ,2015,1,12,DWI  ,KUMQUAT CT at E STASSNEY LN  ,78744,Yes
2015-120011  ,HERE,2015-01-12  ,2015,1,12,DWI  ,2000 S IH 35 SB  ,78704,Yes
2015-120016  ,HERE,2015-01-12  ,2015,1,12,DWI  ,300 E ST JOHNS AVE  ,78752,Yes
2015-120029  ,HERE,2015-01-12  ,2015,1,12,DWI  ,5345 I-35 N  ,78723,Yes
2015-120035  ,HERE,2015-01-12  ,2015,1,12,DWI  ,2600 BLOCK PENNY LN  ,78757,Yes
2015-120054  ,HERE,2015-01-12  ,2015,1,12,DWI  ,600 BLOCK SAN JACINTO BLVD  ,78701,Yes
2015-120071  ,HERE,2015-01-12  ,2015,1,12,DWI  ,800 W 6TH ST  ,78701,Yes
2015-120077  ,HERE,2015-01-12  ,2015,1,12,DWI  ,S IH 35 SVRD SB at LITTLE TEXAS LN  ,78745,Yes
2015-120084  ,HERE,2015-01-12  ,2015,1,12,DWI  ,300 BLOCK E 6TH ST  ,78701,Yes
2015-120093  ,HERE,2015-01-12  ,2015,1,12,DWI .15 BAC OR ABOVE  ,N 183 HWY SVRD SB/ LAKE CREEK PKWY  ,N/A  ,Yes
2015-120100  ,HERE,2015-01-12  ,2015,1,12,DWI .15 BAC OR ABOVE  ,1100 BLOCK AIRPORT BLVD  ,78702,Yes
2015-120101  ,HERE,2015-01-12  ,2015,1,12,DWI  ,400 SAN JACINTO BLVD  ,78701,Yes
2015-120124  ,HERE,2015-01-12  ,2015,1,12,DWI  ,2200 E BEN WHITE BLVD WB  ,78744,Yes
2015-120146  ,HERE,2015-01-12  ,2015,1,12,DWI  ,2600 GUADALUPE ST  ,78705,Yes
2015-120156  ,HERE,2015-01-12  ,2015,1,12,DWI  ,5600 PENICK DR  ,78741,Yes
2015-121661  ,HERE,2015-01-12  ,2015,1,12,DWI 2ND  ,E 12TH ST at SPRINGDALE RD  ,78721,Yes
2015-121711  ,HERE,2015-01-12  ,2015,1,12,DWI 2ND  ,CORONA DR at BERKMAN DR  ,78723,Yes
2015-121751  ,HERE,2015-01-12  ,2015,1,12,DWI  ,3200 BLOCK S CAPITAL OF TEXAS HWY NB  ,78746,Yes
2015-121761  ,HERE,2015-01-12  ,2015,1,12,DWI  ,1320 E OLTORF ST  ,78704,Yes
2015-130022  ,HERE,2015-01-13  ,2015,1,13,DWI 2ND  ,14000 N IH 35  ,N/A  ,Yes
2015-130027  ,HERE,2015-01-13  ,2015,1,13,DWI  ,DOMAIN DR at ESPERANZA XING  ,78758,Yes
2015-130061  ,HERE,2015-01-13  ,2015,1,13,DWI  ,9601 I-35 N  ,78753,Yes
2015-130097  ,HERE,2015-01-13  ,2015,1,13,DWI 2ND  ,201 W BEN WHITE BLVD SVRD EB  ,78745,Yes
2015-130109  ,HERE,2015-01-13  ,2015,1,13,DWI  ,9600 ANDERSON MILL RD  ,78750,Yes
2015-130157  ,HERE,2015-01-13  ,2015,1,13,DWI  ,4400 N LAMAR BLVD  ,78756,Yes
2015-130165  ,HERE,2015-01-13  ,2015,1,13,DWI .15 BAC OR ABOVE  ,800 E KOENIG LN SVRD EB  ,78751,Yes
2015-130165  ,HERE,2015-01-13  ,2015,1,13,DWI 2ND  ,800 E KOENIG LN SVRD EB  ,78751,Yes
2015-130192  ,HERE,2015-01-13  ,2015,1,13,DWI  ,4400 N LAMAR BLVD  ,78756,Yes
2015-130737  ,HERE,2015-01-13  ,2015,1,13,DWI - DRUG RECOGNITION EXPERT  ,711 W 38TH ST  ,78705,Yes
2015-131570  ,HERE,2015-01-13  ,2015,1,13,DWI  ,13700 BLOCK I-35 N  ,78728,Yes
